vintage,loans,3m_default_rate,6m_default_rate,12m_default_rate
2021Q1,220,0.031818181818181815,0.10454545454545454,0.20909090909090908
2021Q2,251,0.01195219123505976,0.09163346613545817,0.24302788844621515
2021Q3,217,0.013824884792626729,0.06912442396313365,0.17511520737327188
2021Q4,213,0.018779342723004695,0.06572769953051644,0.22065727699530516
2022Q1,238,0.02100840336134454,0.06722689075630252,0.19747899159663865
2022Q2,214,0.004672897196261682,0.07476635514018691,0.18691588785046728
2022Q3,216,0.027777777777777776,0.06944444444444445,0.18055555555555555
2022Q4,244,0.012295081967213115,0.06557377049180328,0.1762295081967213
2023Q1,221,0.013574660633484163,0.049773755656108594,0.18552036199095023
2023Q2,206,0.03398058252427184,0.11165048543689321,0.2912621359223301
